window_id,user_id,num_events_mean,num_events_std,median_vel_mean,median_vel_std,std_vel_mean,std_vel_std,p10_vel_mean,p10_vel_std,p90_vel_mean,p90_vel_std,skew_vel_mean,skew_vel_std,kurtosis_vel_mean,kurtosis_vel_std,std_acc_mean,std_acc_std,mean_abs_acc_mean,mean_abs_acc_std,skew_acc_mean,skew_acc_std,kurtosis_acc_mean,kurtosis_acc_std,mean_jerk_mean,mean_jerk_std,std_jerk_mean,std_jerk_std,skew_jerk_mean,skew_jerk_std,kurtosis_jerk_mean,kurtosis_jerk_std,std_dt_mean,std_dt_std,std_angle_mean,std_angle_std,mean_angle_change_mean,mean_angle_change_std,straightness_ratio_mean,straightness_ratio_std,num_direction_changes_mean,num_direction_changes_std,tcm_norm_mean,tcm_norm_std,scattering_coefficient_norm_mean,scattering_coefficient_norm_std,sum_angle_change_mean,sum_angle_change_std,num_pauses_mean,num_pauses_std,time_duration_mean,time_duration_std,click_duration_mean,click_duration_std,csv_file
0,1,45.7,13.98909349608134,0.4483704520255509,0.23654419225605372,1.765954807805834,0.911773073260351,0.03281437080347884,0.03127565095482755,4.098884544479362,2.164721245381676,1.6390049249878988,0.45336825810553794,2.1097243997547577,1.7069403277769806,0.05465005104840821,0.027230508903478074,0.030580238641925946,0.015114874995251906,0.27630139073885085,1.3990816072424797,6.95664570897104,5.950910834666594,6.355185175030097e-05,9.902096529239902e-05,0.004897932456183711,0.00287393069128837,-0.8465870607906567,1.0831561171929058,7.851389658483596,4.595851583696769,47.524688705328074,19.689009417548668,1.4663588749045027,0.6775614933073891,0.26217296405391627,0.050572003688242544,0.8924382344282492,0.09112898731300306,0.65,0.8750939799154205,0.23237620630279782,0.0782374172007014,0.01572966900752102,0.010055533018981712,12.080147347889087,4.6553644128372085,2.15,1.6944180805158293,1236.35,565.5346119986124,83.025,8.765174811359111,session_2020_05_14_3min.csv
1,1,44.2,13.28869721546136,0.465994738868971,0.229098645824451,1.7766927024421069,0.9111322411276123,0.03254400067892407,0.03152897348522247,4.122655361100999,2.158700705755705,1.6252361683151217,0.4389390226492501,2.047883829597382,1.6216432863171188,0.05589812527920154,0.027237233273450054,0.0313583657803965,0.014922521493480903,0.2558430242952637,1.3713195059257877,6.666394150690107,5.709335863346794,5.58660228102378e-05,0.00010026804153067591,0.005052466866243979,0.002893887356939561,-0.7836069293000891,1.0399653364682464,7.462400784613138,4.08351875358346,46.2891018965294,18.975565643114138,1.405667361207427,0.633836323181866,0.2674687907924408,0.04918517490691344,0.8887384898692275,0.09182242470297035,0.6,0.8825799501580878,0.23744226140492558,0.07167700312622788,0.015752394881939878,0.01005412619887157,11.97161626943774,4.654069387254385,1.9,1.2523661815266247,1146.4,451.35671503870003,83.875,9.169277937478876,session_2020_05_14_3min.csv
2,1,43.35,14.027322961765877,0.4839728110188147,0.22948979096759037,1.6655563071455801,0.7781456929123949,0.03000891295962583,0.031342543218062804,3.8847395521495693,1.8587980302635783,1.586036344971267,0.4433157435360382,1.9149520057081364,1.682821056693156,0.05430476732007965,0.02625891880231715,0.03078196305822936,0.01447569168538004,0.35452726185094374,1.3873254248212,6.700256741971771,5.691405276738512,5.849118649136568e-05,9.971728429930168e-05,0.005032866370688743,0.0028966338362627054,-0.7116140627335067,0.9960385089502869,7.164318298899902,4.209835260430743,47.72209644667034,20.08587014555978,1.4382976997371082,0.6262313686778488,0.26999220994604,0.053577677665045516,0.8747889025825671,0.09883033424974967,0.6,0.8825799501580878,0.23612201658803186,0.07272277269309853,0.015264810812971338,0.009620978542357555,11.752984163393869,4.682741030910257,2.0,1.2565617248750864,1150.7,447.5140809310685,83.95,9.206548013006259,session_2020_05_14_3min.csv
3,1,43.45,14.046820205823694,0.48608998757133765,0.22841010678246657,1.674261725856443,0.7715070855899637,0.03073913608335808,0.031856945389265034,3.91680916069143,1.838967575820715,1.5758520905866784,0.44440238032184115,1.8622236664636707,1.696332095309774,0.054797202644214296,0.02571881181457139,0.031127424691298818,0.014114212895799283,0.3351878064963082,1.4060355843118946,6.669570498232974,5.703358430834881,5.6865388984104745e-05,0.00010116722600310942,0.005102209845482778,0.0028232295930822157,-0.6130917957565162,1.000874806696221,7.210881698656077,4.19539420490631,47.36424973768972,20.286693582058664,1.4003929961631971,0.6537854026449238,0.2680234800901996,0.05613539144619653,0.8764368193099303,0.09980455923089662,0.6,0.8825799501580878,0.23569684743517386,0.0727066098829408,0.015725146673524835,0.009848712364531342,11.68255292055627,4.7218024800360565,2.0,1.2565617248750864,1141.5,450.9223880004185,83.525,9.230206418402345,session_2020_05_14_3min.csv
4,1,42.85,13.596729482915327,0.5100395674032703,0.22582660261969068,1.7097163977069438,0.839039242424597,0.03155826425512125,0.031229398845665123,4.047847719488255,2.0983184820019285,1.5730581566265536,0.44632585553924475,1.8339684132049303,1.7255747479073786,0.05642675660423715,0.02678189708572362,0.031907140499605774,0.014389631554765615,0.170077200945222,1.5868836008549805,7.116264130766273,6.135419267378133,8.185168979871636e-05,0.0001384026924087044,0.005303794114343992,0.002933517958083808,-0.488128441480301,0.9118203013143603,7.094904468211427,4.0300938017242975,48.15629470404223,19.750231069372408,1.383033094061944,0.6371511693429557,0.27060837753095446,0.05517166486645186,0.8710838669168719,0.09906134222190453,0.65,0.8750939799154205,0.22953582497121033,0.0737280341678658,0.015971502267361916,0.009671441324366287,11.669790022427678,4.717823872744663,2.05,1.2763022245616642,1130.5,447.4682582097451,84.275,8.149063556145903,session_2020_05_14_3min.csv
5,1,43.6,13.319554283675917,0.489727799274658,0.23230918705652664,1.6508409570709215,0.7496276292787847,0.027503642406381756,0.023858260806167642,3.868541437942672,1.7977772189355548,1.5935798952309639,0.4541802265782689,1.9136838881385898,1.7209191504926182,0.054991938833807,0.026345482361734885,0.030599121798025913,0.01359444532395077,0.1822477541297197,1.5856884132928388,7.296248825725404,5.979048825793032,7.339502009687424e-05,0.000133128828218892,0.005266072345820815,0.0029529234017067947,-0.5901129675323171,0.8522080755132565,6.97214859711584,4.055630552511774,47.65513043102214,19.973800100188054,1.3724715411676565,0.6493443401143631,0.2725208698491543,0.050826299025078,0.8762838117322393,0.10225772793968443,0.6,0.8825799501580878,0.22462103177283602,0.07502161077202682,0.015152359365891151,0.009292557895408747,11.861296073360723,4.4734465585353735,2.1,1.2523661815266247,1155.45,423.2491458629115,86.7,14.159244701830525,session_2020_05_14_3min.csv
6,1,44.3,12.524082065323084,0.47511149204732595,0.2379533028610165,1.6666072630752757,0.7540755043143073,0.027373445335378832,0.023930780559971467,3.8918048181345037,1.802621713725158,1.6188029844026837,0.4567085503678664,2.0027290652878826,1.71552919820051,0.05462851824954205,0.026274656264730634,0.030326238036641678,0.013531484800923348,0.19232629287635034,1.5765256095157183,7.305121775018643,5.977078806409564,8.293372468285448e-05,0.00013728504955192708,0.005215050044298398,0.0029569163406874435,-0.5432839037372934,0.8027448207704695,6.9741629426517395,4.0552639674787345,46.78050029021081,19.691738176654567,1.454532557966577,0.6202197106182549,0.2752199344772681,0.04969290837046044,0.8686732169131475,0.098809194038691,0.7,0.9233805168766386,0.2186642116478942,0.07604067181270152,0.01569633333536746,0.008947858832660771,12.119942467200799,4.210913046750707,2.15,1.2258187382102497,1160.65,418.749928515312,87.925,15.249913718478954,session_2020_05_14_3min.csv
7,1,45.35,13.596729482915327,0.47244908333495805,0.23792757808756707,1.7035858776454973,0.7149090026836743,0.029227735268344886,0.024723908597718464,3.9709849053673616,1.7218427450882596,1.6692090810320832,0.3926618070277682,2.1438898371962236,1.5922264817821774,0.055570547561125325,0.025303468766317058,0.03092390869972706,0.01297758088315565,0.25712428436646995,1.5803056438252028,7.439684327211806,5.877156482973137,9.342074326282884e-05,0.00014186224280789817,0.00531574147152433,0.00287991077575325,-0.40956246365722376,1.1251061240455094,7.8755518440729775,5.021861040318161,45.36078528221016,19.490469147410543,1.4814788701394135,0.6186405852519596,0.27696878397409813,0.04967296576238254,0.860659765731444,0.10098379621385153,0.9,1.1652874052533584,0.22623435771323086,0.08458375603443269,0.02059389614123127,0.02367417645612864,12.509835258735748,4.55847543192209,2.25,1.2085223687584246,1164.85,421.6983550259343,87.925,15.249913718478954,session_2020_05_14_3min.csv
8,1,45.3,13.646283473223724,0.4834112220907277,0.2381081126124888,1.6722106906554455,0.7386197680646283,0.033179214339681476,0.026084721385537638,3.925038841637736,1.7656278467031952,1.6542795880184689,0.3927506138526409,2.0999948443733447,1.5850118383399774,0.05401045416438115,0.02538837769253148,0.029979682810675756,0.012797064706367751,0.26576488893715133,1.5832395675935087,7.518449094305832,5.821896134813816,9.241504710916713e-05,0.00014267974734659197,0.005171680863976057,0.0028923457452326774,-0.4249845855309391,1.1350029550592564,7.8668858108989355,5.028749761043386,43.2754668485575,17.033952081014604,1.4591925210223349,0.6253822988573434,0.2804481602244458,0.051849579159127246,0.871686131991334,0.10233833016712907,0.9,1.1652874052533584,0.22746668826916028,0.08543533634680114,0.02138058073066406,0.023438086948767027,12.607471199772625,4.5008997543468885,2.2,1.2396943596157715,1130.55,422.1005710790535,89.075,14.223104813166348,session_2020_05_14_3min.csv
9,1,44.45,13.930183056945086,0.4781832741035414,0.2329181072636083,1.6298884809269303,0.7571589975933258,0.040856915727866386,0.05165309596475677,3.8175196140004237,1.815618502563002,1.6728402265162874,0.4178048471297322,2.2458755600408287,1.9094152173844126,0.05251819841281874,0.024960660371895604,0.02951940890865439,0.012639405914537534,0.39494040628527977,1.477584059222934,7.148394096380923,5.768737251627521,8.856381267983268e-05,0.00014229680543383452,0.004991493376724881,0.0028256722531475485,-0.4942556002654654,1.1813703181877662,7.823959184530354,5.017844576684121,43.934556171462646,17.007713851137503,1.3719546608643534,0.595062903880629,0.2727234608446478,0.05638674181077881,0.8760931007951169,0.10326272448819562,0.75,1.0699237552766376,0.2462769082392085,0.12284939221616302,0.021408043611860345,0.023444636430645427,12.085190716544869,4.705253272288098,2.15,1.268027892769755,1121.75,427.6416201250269,89.075,14.223104813166348,session_2020_05_14_3min.csv
